Salary,amount (in bottles),Nationality_Cambodian,Nationality_Chinese,Nationality_Indonesian,Nationality_Malaysian,Nationality_Singaporean,Nationality_Thai,Nationality_Vietnamese,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Tenure_0-2,Tenure_3-5,Tenure_6-10,Tenure_11-15,Tenure_15+
1688,96.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,82.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,91.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,21.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,16.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,536.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,49.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,40.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,39.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,34.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,44.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,88.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,47.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,58.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,22.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,67.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,84.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,172.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,184.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,14.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,37.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,60.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,81.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,26.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,27.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,85.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,11.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,70.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,95.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,17.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,108.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,65.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1688,106.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1010,36.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,28.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,8.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,30.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,24.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,26.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,183.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,20.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,-26.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,83.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,60.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,39.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,48.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,19.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,58.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,620.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,29.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,40.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,15.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,14.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,116.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1010,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,48.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,12.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,36.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,100.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,60.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,46.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,50.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,70.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,84.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,26.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,240.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,31.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,43.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
